model,task_id,truth_n1,truth_n100,delta,within_task_auc
Llama-3-8B,HumanEval/27,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/28,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/29,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/30,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/31,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/32,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/33,0.050000000000000044,0.994079470779666,0.9440794707796659,1.0
Llama-3-8B,HumanEval/34,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/35,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/36,0.71,1.0,0.29000000000000004,1.0
Llama-3-8B,HumanEval/37,0.13,0.36603205953542567,0.23603205953542566,0.9885057471264368
Llama-3-8B,HumanEval/38,0.35,1.0,0.65,1.0
Llama-3-8B,HumanEval/39,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/40,0.37,1.0,0.63,1.0
Llama-3-8B,HumanEval/41,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/42,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/43,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/44,0.9,1.0,0.09999999999999998,1.0
Llama-3-8B,HumanEval/45,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/46,0.45999999999999996,1.0,0.54,1.0
Llama-3-8B,HumanEval/47,0.99,1.0,0.010000000000000009,0.9797979797979798
Llama-3-8B,HumanEval/48,0.98,1.0,0.020000000000000018,1.0
Llama-3-8B,HumanEval/49,0.92,1.0,0.07999999999999996,1.0
Llama-3-8B,HumanEval/50,0.8300000000000001,0.9637989992147356,0.13379899921473548,0.738483345145287
Llama-3-8B,HumanEval/51,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/52,0.98,1.0,0.020000000000000018,1.0
Llama-3-8B,HumanEval/53,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/54,0.020000000000000018,0.8673804441052471,0.847380444105247,1.0
Llama-3-8B,HumanEval/55,0.24000000000000002,0.00015516445923697246,-0.23984483554076305,0.8092105263157895
Llama-3-8B,HumanEval/56,0.98,1.0,0.020000000000000018,1.0
Llama-3-8B,HumanEval/57,0.86,1.0,0.14,1.0
Llama-3-8B,HumanEval/58,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/59,0.88,1.0,0.12,1.0
Llama-3-8B,HumanEval/60,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/61,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/62,0.77,0.04755250792540563,-0.7224474920745944,0.8695652173913043
Llama-3-8B,HumanEval/63,0.84,1.0,0.16000000000000003,1.0
Llama-3-8B,HumanEval/64,0.020000000000000018,0.8673804441052471,0.847380444105247,1.0
Llama-3-8B,HumanEval/65,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/66,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/67,0.4,1.0,0.6,1.0
Llama-3-8B,HumanEval/68,0.26,0.9999999999999162,0.7399999999999162,1.0
Llama-3-8B,HumanEval/69,0.4100000000000001,0.9677419354838709,0.5577419354838709,0.9210417527904092
Llama-3-8B,HumanEval/70,0.54,1.0,0.45999999999999996,1.0
Llama-3-8B,HumanEval/71,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/72,0.77,1.0,0.22999999999999998,1.0
Llama-3-8B,HumanEval/73,0.17999999999999994,0.04755250786750155,-0.1324474921324984,0.9634146341463414
Llama-3-8B,HumanEval/74,0.9199999999999999,0.36603234127322914,-0.5539676587267708,0.875
Llama-3-8B,HumanEval/75,0.25000000000000006,0.13261954780734708,-0.11738045219265297,0.712
Llama-3-8B,HumanEval/76,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/77,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/78,0.53,1.0,0.47,0.9923725411481332
Llama-3-8B,HumanEval/79,0.44999999999999996,1.0,0.55,1.0
Llama-3-8B,HumanEval/80,0.85,1.0,0.15000000000000002,1.0
Llama-3-8B,HumanEval/81,0.08000000000000002,4.665425918807372e-08,-0.07999995334574082,0.7989130434782609
Llama-3-8B,HumanEval/82,0.97,1.0,0.030000000000000027,1.0
Llama-3-8B,HumanEval/83,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/84,0.010000000000000009,0.6339676587267709,0.6239676587267708,1.0
Llama-3-8B,HumanEval/85,0.98,1.0,0.020000000000000018,1.0
Llama-3-8B,HumanEval/86,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/87,0.42000000000000004,1.0,0.58,1.0
Llama-3-8B,HumanEval/88,0.85,1.0,0.15000000000000002,0.7764705882352941
Llama-3-8B,HumanEval/89,0.8200000000000001,1.0,0.17999999999999994,1.0
Llama-3-8B,HumanEval/90,0.38,1.0,0.62,1.0
Llama-3-8B,HumanEval/91,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/92,0.75,1.0,0.25,1.0
Llama-3-8B,HumanEval/93,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/94,0.39999999999999997,3.897544985846167e-09,-0.39999999610245496,0.35833333333333334
Llama-3-8B,HumanEval/95,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/96,0.89,1.0,0.10999999999999999,1.0
Llama-3-8B,HumanEval/97,0.020000000000000018,0.8673804441052471,0.847380444105247,1.0
Llama-3-8B,HumanEval/98,0.38,1.0,0.62,1.0
Llama-3-8B,HumanEval/99,0.19999999999999996,0.9999999997962964,0.7999999997962964,1.0
Llama-3-8B,HumanEval/100,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/101,0.77,1.0,0.22999999999999998,1.0
Llama-3-8B,HumanEval/102,0.22999999999999998,0.9999999999955427,0.7699999999955427,1.0
Llama-3-8B,HumanEval/103,0.010000000000000009,0.6339676587267709,0.6239676587267708,1.0
Llama-3-8B,HumanEval/104,0.98,1.0,0.020000000000000018,1.0
Llama-3-8B,HumanEval/105,0.79,1.0,0.20999999999999996,1.0
Llama-3-8B,HumanEval/106,0.47,1.0,0.53,1.0
Llama-3-8B,HumanEval/107,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/108,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/109,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/110,0.040000000000000036,0.7952635766237328,0.7552635766237328,0.9947916666666666
Llama-3-8B,HumanEval/111,0.91,1.0,0.08999999999999997,1.0
Llama-3-8B,HumanEval/112,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/113,0.020000000000000018,0.8673804441052471,0.847380444105247,1.0
Llama-3-8B,HumanEval/114,0.78,1.0,0.21999999999999997,0.717948717948718
Llama-3-8B,HumanEval/115,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/116,0.89,0.89,0.0,0.5
Llama-3-8B,HumanEval/117,0.88,1.0,0.12,1.0
Llama-3-8B,HumanEval/118,0.010000000000000009,0.43369022205262353,0.4236902220526235,0.9949494949494949
Llama-3-8B,HumanEval/119,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/120,0.18000000000000002,1.6126272510174153e-29,-0.18000000000000002,0.2506775067750677
Llama-3-8B,HumanEval/121,0.7,1.0,0.30000000000000004,1.0
Llama-3-8B,HumanEval/122,0.35000000000000003,0.4268292682926829,0.07682926829268288,0.6384615384615384
Llama-3-8B,HumanEval/123,0.62,1.0,0.38,1.0
Llama-3-8B,HumanEval/124,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/125,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/126,0.010000000000000009,0.6339676587267709,0.6239676587267708,1.0
Llama-3-8B,HumanEval/127,0.12,0.9999971928396888,0.8799971928396888,1.0
Llama-3-8B,HumanEval/128,0.42000000000000004,1.0,0.58,1.0
Llama-3-8B,HumanEval/129,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/130,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/131,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/132,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/133,0.55,1.0,0.44999999999999996,1.0
Llama-3-8B,HumanEval/134,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/135,0.010000000000000009,0.6339676587267709,0.6239676587267708,1.0
Llama-3-8B,HumanEval/136,0.96,1.0,0.040000000000000036,1.0
Llama-3-8B,HumanEval/137,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/138,0.8600000000000001,1.0,0.1399999999999999,1.0
Llama-3-8B,HumanEval/139,0.37,0.3404255319148936,-0.029574468085106387,0.4976404976404976
Llama-3-8B,HumanEval/140,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/141,0.039999999999999994,2.601617861764811e-10,-0.039999999739838206,0.640625
Llama-3-8B,HumanEval/142,0.03,0.03,0.0,0.5
Llama-3-8B,HumanEval/143,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/144,0.16999999999999998,0.16269579689413763,-0.007304203105862356,0.9347980155917789
Llama-3-8B,HumanEval/145,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/146,0.41000000000000003,1.0,0.59,1.0
Llama-3-8B,HumanEval/147,0.89,1.0,0.10999999999999999,1.0
Llama-3-8B,HumanEval/148,0.4,1.0,0.6,1.0
Llama-3-8B,HumanEval/149,0.98,0.98,0.0,0.5
Llama-3-8B,HumanEval/150,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/151,0.43000000000000005,1.0,0.57,1.0
Llama-3-8B,HumanEval/152,0.96,1.0,0.040000000000000036,1.0
Llama-3-8B,HumanEval/153,0.9400000000000001,1.0,0.05999999999999994,0.975177304964539
Llama-3-8B,HumanEval/154,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/155,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/156,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/157,0.8500000000000001,0.9999999982990113,0.14999999829901123,0.9474509803921569
Llama-3-8B,HumanEval/158,0.6000000000000001,1.0,0.3999999999999999,0.971875
Llama-3-8B,HumanEval/159,0.31000000000000005,0.9999999999999999,0.6899999999999998,1.0
Llama-3-8B,HumanEval/160,0.04,0.07692304435304126,0.03692304435304126,0.61328125
Llama-3-8B,HumanEval/161,0.16000000000000003,0.9999999732127207,0.8399999732127207,1.0
Llama-3-8B,HumanEval/162,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/163,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/0,0.96,1.0,0.040000000000000036,1.0
Llama-3-70B,HumanEval/1,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/2,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/3,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/4,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/5,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/6,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/7,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/8,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/9,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/10,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/11,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/12,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/13,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/14,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/15,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/16,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/17,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/18,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/19,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/20,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/21,0.05,0.3333333041744212,0.2833333041744212,0.9473684210526315
Llama-3-70B,HumanEval/22,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/23,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/24,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/25,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/26,0.6000000000000001,6.173866859712755e-07,-0.5999993826133141,0.3375
Llama-3-70B,HumanEval/27,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/28,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/29,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/30,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/31,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/32,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/33,0.99,1.0,0.010000000000000009,1.0
Llama-3-70B,HumanEval/34,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/35,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/36,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/37,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/38,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/39,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/40,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/41,0.85,0.85,0.0,0.5
Llama-3-70B,HumanEval/42,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/43,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/44,0.89,1.0,0.10999999999999999,1.0
Llama-3-70B,HumanEval/45,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/46,0.88,1.0,0.12,1.0
Llama-3-70B,HumanEval/47,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/48,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/49,0.95,1.0,0.050000000000000044,1.0
Llama-3-70B,HumanEval/50,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/51,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/52,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/53,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/54,0.050000000000000044,0.994079470779666,0.9440794707796659,1.0
Llama-3-70B,HumanEval/55,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/56,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/57,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/58,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/59,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/60,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/61,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/62,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/63,0.79,1.0,0.20999999999999996,1.0
Llama-3-70B,HumanEval/64,0.64,1.0,0.36,1.0
Llama-3-70B,HumanEval/65,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/66,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/67,0.9600000000000001,1.0,0.039999999999999925,1.0
Llama-3-70B,HumanEval/68,0.98,1.0,0.020000000000000018,1.0
Llama-3-70B,HumanEval/69,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/70,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/71,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/72,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/73,0.88,1.0,0.12,1.0
Llama-3-70B,HumanEval/74,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/75,0.31000000000000005,0.3660323412729084,0.05603234127290835,0.9593267882187938
Llama-3-70B,HumanEval/76,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/77,0.92,1.0,0.07999999999999996,1.0
Llama-3-70B,HumanEval/78,0.95,1.0,0.050000000000000044,1.0
Llama-3-70B,HumanEval/79,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/80,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/81,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/82,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/83,0.39000000000000007,0.7560975609756098,0.3660975609756097,0.8154686843211434
Llama-3-70B,HumanEval/84,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/85,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/86,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/87,0.9,1.0,0.09999999999999998,1.0
Llama-3-70B,HumanEval/88,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/89,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/90,0.92,1.0,0.07999999999999996,1.0
Llama-3-70B,HumanEval/91,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/92,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/93,0.12,0.12,0.0,0.5
Llama-3-70B,HumanEval/94,0.65,0.65,0.0,0.5
Llama-3-70B,HumanEval/95,0.37,1.0,0.63,1.0
Llama-3-70B,HumanEval/96,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/97,0.61,1.0,0.39,1.0
Llama-3-70B,HumanEval/98,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/99,0.56,1.0,0.43999999999999995,1.0
Llama-3-70B,HumanEval/100,0.12,0.9999971928396888,0.8799971928396888,1.0
Llama-3-70B,HumanEval/101,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/102,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/103,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/104,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/105,0.99,1.0,0.010000000000000009,1.0
Llama-3-70B,HumanEval/106,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/107,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/108,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/109,0.99,1.0,0.010000000000000009,1.0
Llama-3-70B,HumanEval/110,0.95,1.0,0.050000000000000044,1.0
Llama-3-70B,HumanEval/111,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/112,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/113,0.020000000000000018,0.8673804441052471,0.847380444105247,1.0
Llama-3-70B,HumanEval/114,0.88,1.0,0.12,0.7272727272727273
Llama-3-70B,HumanEval/115,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/116,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/117,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/118,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/119,0.47999999999999987,0.005726169572175185,-0.47427383042782467,0.45853365384615385
Llama-3-70B,HumanEval/120,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/121,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/122,0.09,0.25,0.16,0.8516483516483516
Llama-3-70B,HumanEval/123,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/124,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/125,0.04,1.5294969145126728e-28,-0.04,0.4947916666666667
Llama-3-70B,HumanEval/126,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/127,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/128,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/129,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/130,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/131,0.6799999999999999,1.0,0.32000000000000006,1.0
Llama-3-70B,HumanEval/132,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/133,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/134,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/135,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/136,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/137,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/138,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/139,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/140,0.24999999999999997,0.01225580101170248,-0.2377441989882975,0.48
Llama-3-70B,HumanEval/141,0.43000000000000005,1.0,0.57,1.0
Llama-3-70B,HumanEval/142,0.1,0.1,0.0,0.5
Llama-3-70B,HumanEval/143,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/144,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/145,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/146,0.5800000000000001,1.0,0.41999999999999993,1.0
Llama-3-70B,HumanEval/147,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/148,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/149,0.8,1.0,0.19999999999999996,1.0
Llama-3-70B,HumanEval/150,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/151,0.86,1.0,0.14,1.0
Llama-3-70B,HumanEval/152,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/153,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/154,0.0,0.0,0.0,nan
Llama-3-70B,HumanEval/155,0.6,1.0,0.4,1.0
Llama-3-70B,HumanEval/156,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/157,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/158,0.72,1.0,0.28,0.8402777777777778
Llama-3-70B,HumanEval/159,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/160,0.19,0.9999997346423014,0.8099997346423014,0.868421052631579
Llama-3-70B,HumanEval/161,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/162,1.0,1.0,0.0,nan
Llama-3-70B,HumanEval/163,0.0,0.0,0.0,nan
